factor_name,family,research_intent,formula_symbolic,anchor,window,candidate_day_used,required_columns,price_basis,volume_basis,min_required_sessions,missing_policy,zero_denominator_policy,suspension_policy,corporate_action_policy,pit_safe,unit,higher_means,lower_means,known_collinearity,contract_status,analysis_role,ca_class,notes
t0_return,F1 ATTACK,首次攻击当日收益强度,C0/PRECLOSE0-1,T0,T0,no,close preclose,RAW_WITH_CA_EXCLUSION,raw,1,MISSING_T0_BAR/MISSING_PRECLOSE/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on T0 edge (T0-1 -> T0) -> NULL,yes,decimal fraction,stronger launch,weaker launch,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,preclose0 is canonical preclose
t0_gap,F1 ATTACK,首次攻击开盘跳空,O0/PRECLOSE0-1,T0,T0,no,open preclose,RAW_WITH_CA_EXCLUSION,raw,1,MISSING_T0_BAR/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on T0 edge (T0-1 -> T0) -> NULL,yes,decimal fraction,gapped up,gapped down/closed,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,-
t0_range_pct,F1 ATTACK,首次攻击日内振幅,(H0-L0)/PRECLOSE0,T0,T0,no,high low preclose,RAW_WITH_CA_EXCLUSION,raw,1,MISSING_T0_BAR/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on T0 edge (T0-1 -> T0) -> NULL,yes,decimal fraction,larger amplitude,smaller amplitude,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,-
t0_close_location,F1 ATTACK,首次攻击收盘位置,(C0-L0)/(H0-L0),T0,T0,no,open high low close,RAW (same-session),raw,1,MISSING_T0_BAR,ZERO_DENOMINATOR->NULL when H0==L0,missing session not counted,n/a (pure same-session geometry; scale invariant),yes,decimal fraction (0..1),close near high,close near low,none,FROZEN_FOR_R2,PRIMARY,CA_SAFE_SAME_SESSION_GEOMETRY,H0==L0 possible for one-price bars
t0_position_20d,F1 ATTACK,首次攻击在20日区间的相对位置,(C0-min_low_20)/(max_high_20-min_low_20),T0,19 prior sessions + T0,no,close high low,RAW_WITH_CA_EXCLUSION,raw,20,INSUFFICIENT_PRE_T0_HISTORY/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span T0-19..T0 + predecessor T0-20) -> NULL,yes,decimal fraction,high in range,low in range,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_LEVEL_ORDERING,CA edge coverage FULL 7766/8682 PARTIAL 916 NONE 0; fail-closed NULLs
pre_t0_return_5d,F1 PRE,攻击前5日动量,close(T0-1)/close(T0-6)-1,T0,PRE_T0_6,no,close,RAW_WITH_CA_EXCLUSION,raw,6,INSUFFICIENT_PRE_T0_HISTORY/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span + predecessor) -> NULL,yes,decimal fraction,prior momentum up,prior momentum down,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,5 return intervals
pre_t0_return_20d,F1 PRE,攻击前20日动量,close(T0-1)/close(T0-21)-1,T0,PRE_T0_21,no,close,RAW_WITH_CA_EXCLUSION,raw,21,INSUFFICIENT_PRE_T0_HISTORY/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span T0-21..T0-1 + predecessor T0-22) -> NULL,yes,decimal fraction,prior momentum up,prior momentum down,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,CA edge coverage FULL 7769/8682 PARTIAL 913 NONE 0; fail-closed NULLs
t0_volume_ratio_5d,F1 VOLUME,首次攻击量能相对放大,V0/mean(volume(T0-5..T0-1)),T0,5 prior sessions (T0 excluded),no,volume,raw,raw,5,INSUFFICIENT_PRE_T0_HISTORY/NONPOSITIVE_VOLUME/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges -> NULL (share-scale continuity unproven),yes,decimal fraction (ratio),volume expansion,volume contraction,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_VOLUME,T0 never enters denominator
pullback_depth_close,F2 HOLD,回调对T0收盘的深度,min(close over PB)/C0-1,T0,PULLBACK_ASOF_D (T0<date<=D),yes,close,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL when C0==0,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span {T0} U PB + predecessor) -> NULL,yes,decimal fraction,shallower pullback,deeper pullback,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,unit may exceed 0 when all PB close > C0; no clamp
max_drawdown_from_post_t0_high,F2 HOLD,回调最大回撤深度,min_j(low_j/prior_peak_j-1),T0,PULLBACK_ASOF_D (T0<date<=D),yes,high low,RAW_WITH_CA_EXCLUSION,raw,1,EMPTY_PULLBACK_WINDOW/CORPORATE_ACTION_EVENT/CORPORATE_ACTION_UNKNOWN,ZERO_DENOMINATOR->NULL,missing session not counted,CA_EVENT or CA_UNKNOWN on comparison edges (span {T0} U PB + predecessor) -> NULL,yes,decimal fraction (<=0),smaller drawdown,larger drawdown,none,FROZEN_FOR_R2,PRIMARY,CA_UNSAFE_CROSS_SESSION_PRICE,"daily-order-safe: prior_peak_j = max(T0_high, highs strictly before j); includes T0_high"
