feature_id,feature_name,layer,role,required_activation,checkpoint,formula,anchor_semantics,data_source,PIT_safe,missing_semantics,status,known_limitation
F7-1,BREAKOUT_HOLD_RATIO,B_ACCEPTANCE,PRIMARY,FIRST_S1_TOUCH_5M_BAR,09:45/10:00/10:30/11:30,share of post-activation completed 5m bars with close >= S1 (touch anchor bar excluded),first completed bar with HIGH >= S1; window starts at NEXT completed bar,ASL_5M,TRUE,no post-activation bars -> NaN; not activated -> NOT_YET_ACTIVATED (not 0),CONTRACT_ONLY,requires ASL 5m coverage
F7-2,VWAP_ACCEPTANCE_RATIO,B_ACCEPTANCE,PRIMARY,FIRST_S1_TOUCH_5M_BAR,09:45/10:00/10:30/11:30,share of post-activation bars with close >= session VWAP; VWAP = cumulative amount / cumulative volume,same as F7-1,ASL_5M,TRUE,amount unavailable -> DATA_UNAVAILABLE (NO close-weighted proxy fallback),CONTRACT_ONLY,depends on ASL amount reliability
F7-3,RETEST_DEPTH,B_ACCEPTANCE,PRIMARY,FIRST_S1_TOUCH_5M_BAR,09:45/10:00/10:30/11:30,min(low / S1 - 1) over post-activation bars to checkpoint,anchor bar excluded,ASL_5M,TRUE,no post-activation bars -> NaN,CONTRACT_ONLY,
F7-4,FALSE_BREAK_DURATION,B_ACCEPTANCE,PRIMARY,FIRST_S1_TOUCH_5M_BAR,09:45/10:00/10:30/11:30,max consecutive completed 5m bars with close < S1 after activation through checkpoint (unit: bars),anchor bar excluded,ASL_5M,TRUE,no post-activation bars -> 0,CONTRACT_ONLY,
S1,S1_DISTANCE / S1_STATE,A_ACTIVATION,SECONDARY,NONE,09:45/10:00/10:30/11:30,dist_to_s1_pct; high_vs_s1_pct; activated_by_checkpoint,checkpoint-level only,ASL_5M + frozen S1,TRUE,not activated -> NOT_YET_ACTIVATED,CONTRACT_ONLY,LAYER A denominator
S2,VWAP_DISTANCE / VWAP_STATE,A_ACTIVATION,SECONDARY,NONE,09:45/10:00/10:30/11:30,close vs session VWAP distance and above/below state,VWAP from completed bars only,ASL_5M,TRUE,amount unavailable -> DATA_UNAVAILABLE,CONTRACT_ONLY,
S3,PREV_CLOSE_STATE,A_ACTIVATION,SECONDARY,NONE,09:45/10:00/10:30/11:30,close vs previous close state,checkpoint-level,ASL_5M,TRUE,,CONTRACT_ONLY,
S4,HIGH_PROGRESSION,A_ACTIVATION,SECONDARY,NONE,09:45/10:00/10:30/11:30,high progression through checkpoints,checkpoint-level,ASL_5M,TRUE,,CONTRACT_ONLY,
S5,OPEN_GAP / OPENING_DRAWDOWN,A_ACTIVATION,CONTROL,NONE,open,open gap vs prev close; opening drawdown,first completed bar,ASL_5M,TRUE,,CONTRACT_ONLY,
S6,CUM_VOLUME_RELATIVE_TO_D1_SAME_TIME,A_ACTIVATION,CONTROL,NONE,09:45/10:00/10:30/11:30,cumulative volume to checkpoint vs D1 same checkpoint (same bar completion semantics; never full-day D1 volume),"checkpoint-level, right-labeled",ASL_5M,TRUE,D1 missing -> DATA_UNAVAILABLE,CONTRACT_ONLY,
D1,POST_BREAK_30M_RETURN / POST_BREAK_60M_RETURN,B_ACCEPTANCE,DEFERRED,FIRST_S1_TOUCH_5M_BAR,event-anchored,DEFERRED: requires unique event-anchored PIT contract without post-checkpoint future data,UNRESOLVED,ASL_5M,FALSE_FOR_V01,,DEFERRED,not implemented to avoid feature-count inflation
