baseline_id,baseline_role,factor_name,factor_family,factor_role,r3_direction,r4_status,primary_sample,primary_method,material_effect_threshold,material_effect_source,feature_artifact_sha,benchmark_signal_artifact_sha,missing_semantics,status,known_limitation
B4,SECONDARY_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,NEGATIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B4,SECONDARY_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,NEGATIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B4,SECONDARY_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,NEGATIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B4,SECONDARY_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,POSITIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B4,SECONDARY_BASELINE,high_vs_pullback_high,F6,ROBUSTNESS_CONTROL,POSITIVE,UNSTABLE,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B4,SECONDARY_BASELINE,close_vs_pullback_high,F6,ROBUSTNESS_CONTROL,POSITIVE,TIME_DEPENDENT,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B5,WEAK_CONTROL_BASELINE,pullback_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,NEGATIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B5,WEAK_CONTROL_BASELINE,min_volume_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,NEGATIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B5,WEAK_CONTROL_BASELINE,median_range_ratio,F3,PRIMARY_INCREMENTAL_CANDIDATE,NEGATIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
B5,WEAK_CONTROL_BASELINE,quiet_days_n,F3,PRIMARY_INCREMENTAL_CANDIDATE,POSITIVE,DATA_LIMITED,benchmark eligible AND benchmark signal == true AND factor nonmissing AND outcome known (baseline signal group),"CONDITIONAL_RESIDUAL_DISCRIMINATION: within benchmark signal group (benchmark eligible AND signal AND factor nonmissing AND outcome known), native AUC of the continuous factor on SUCCESS vs KNOWN_NON_SUCCESS",0.03,research/reports/SECOND_LAUNCH_FACTOR_R4_STABILITY_CONTRACT_V01.md section 5 and research/second_launch/factors_v01/r4_stability_v01.py MATERIAL_EFFECT,a485a484d68e80b7514112c19a7380b4296595c17f3634df0d1467151e7affa8,ee1c132bf8baa9d479eb0fd01592fe0a44d4851503353986620fc978720995c8,factor structured NULL (CA/insufficient history per R1B contract) -> excluded from conditional sample (factor nonmissing gate),CONTRACT_ONLY,R6B must report OWN_BASELINE_SAMPLE and COMMON_COMPARABLE_SAMPLE; PRIMARY comparison on common comparable sample; no direction flip; no threshold optimization; no F3/F6 combination tuning
